,strain,cluster,in_ocs,lean,sweet,strawberry,earthy,blue cheese,sage,honey,rose,tree fruit,violet,coffee,pear,spicy/herbal,tropical,pungent,tea,apricot,mint,pepper,flowery,ammonia,blueberry,berry,chemical,pine,woody,lime,plum,nutty,citrus,orange,mango,diesel,lemon,pineapple,apple,grape,menthol,chestnut,skunk,grapefruit,peach,butter,lavender,tar,tobacco,vanilla,focused,inflammation,dizzy,energetic,lack of appetite,happy,creative,muscle spasms,sleepy,stress,tingly,aroused,anxious,nausea,fatigue,cramps,uplifted,headache,talkative,paranoid,hungry,giggle,depression,relaxed,pain,seizures,euphoric,spasticity,eye pressure,headaches,insomnia,strain_type
1106,LA Woman,0,0,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.613333333,,0.798387097,,0.743243243,,,0.733870968,,,,0.508064516,,,,0.04,,0.626666667,0.783783784,1,0.903225806,0.878378378,1,,0.885135135,,,,,hybrid
1107,LAPD,2,0,0.5,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.8,,0.6,0.6,,,,,,,,,,1,,,,,,,,1,,0.6,,,,,hybrid
1108,LSD,0,0,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.251649123,,0.606920851,0.981903193,0.650063505,,,1,,,0.365804731,,0.485290304,,0.658238437,,,0.262978384,,,0.874843988,1,0.67172456,,0.853423619,,,,,hybrid
1109,LVPK,3,0,0.64,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.75,1,0.6875,,,1,,,,1,,,0.6875,,,1,,,,0.8125,1,,0.8125,,,0.625,,hybrid
1110,La Blanca,2,1,0.5,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0.625,,,,,,0.875,,,,,,0.166666667,,,1,,,0.5,0.333333333,,0.5,,1,,,,,,,,hybrid
1111,Ladyburn 1974,1,0,0.565,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.545454545,,,0.823529412,,,,,1,0.176470588,,,,1,0.515151515,0.515151515,,1,,,0.848484848,,,0.882352941,0.882352941,hybrid
1112,Lake of Fire,1,0,0.5,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0.091370558,,0.326034063,0.776293823,0.298831386,0.369829684,,1,,,0.543147208,,,,0.552587646,,,,,,,1,0.827250608,,0.597662771,,,,0.369829684,hybrid
1113,Lamb's Bread,3,0,0.05,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.270881365,0.741185017,0.277574234,1,,,,1,,,0.223052204,,,,0.931732738,0.267504688,,,,,0.846245732,0.780169666,0.502660926,,0.796042338,,,,0.240726874,sativa
1114,Lambo OG,0,0,0.54,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,0.625,,,0.714285714,,0.333333333,0.642857143,0.466666667,,,,0.466666667,,,,0.25,,0.125,0.642857143,,,0.571428571,1,,1,,,,0.4,hybrid
1115,Lamborghini,0,0,0.28,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,0.869565217,,,0.844827586,,,0.948275862,1,,,,,0.5,,0.896551724,,,0.065217391,,,1,1,,,0.844827586,,,0.5,0.5,sativa
1116,Larry Bird Kush,0,0,0.5,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.136363636,,,0.851851852,,1,0.864197531,1,,,0.795454545,,,,0.851851852,0.363636364,,,,,0.795454545,1,1,,0.888888889,,,,0.795454545,hybrid
1117,Larry OG,0,0,0.5,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,0.407904848,0.489413591,,,,0.746665114,,,,0.796728106,,,0.371279695,,0.45993057,,0.592262737,0.233726114,,0.355236996,,,0.754621447,1,1,,0.578153462,,,,,hybrid
1118,Las Vegas Purple Kush BX,2,0,0.8,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,1,,,0.80952381,1,,,,,0.5,,0.380952381,,,,,,,0.80952381,,,0.380952381,,0.5,0.8125,,indica
1119,Lashkar Gah,1,0,0.96,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045454545,0.458333333,,,0.916666667,0.954545455,0.4375,,,,,,,,,,,,,1,1,,0.9375,,,,0.045454545,indica
1120,Laughing Buddha,3,0,0,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076717119,,,1,0.440048715,,,0.865991706,,,0.476148844,,0.432995853,,0.760746703,,,0.345718813,,0.862324218,1,,0.254156237,,0.714410763,,,,0.248178728,sativa
1121,Laughing Gas,0,0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,0.75,,,,0.294117647,,,,1,,0.941176471,0.5,,,,,,,,1,,0.75,0.294117647,0.75,,0.235294118,,,,0.75,hybrid
1122,Lavender,2,0,0.8,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0.206453279,,,0.639894362,,0.383215198,0.663517357,1,,,0.180640163,,,,0.364908506,0.290476274,,,,,0.372934977,1,0.641635071,,0.57624535,,,,0.782359807,indica
1123,Lavender Haze,3,0,0.4,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.025773196,,1,0.030927835,0.2,0.910526316,,,1,,,0.113513514,,,,,0.118918919,,0.113513514,0.873684211,,0.994845361,,0.134020619,,0.205263158,,,,,hybrid
1124,Lavender Jones,1,0,0.42,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0.01270648,,0.503735326,0.620071685,0.321477805,,,0.989327641,,,0.1772554,,,,0.418527709,,,0.442820839,,,0.812166489,1,1,,0.41053212,,,,0.72678762,hybrid
1125,Le Silver Royale,2,0,0.4,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,0.571428571,,,,1,,,,,,,1,,0.428571429,,,,0.75,0.571428571,0.25,,0.571428571,,,,,hybrid
1126,Lee Roy,0,0,0.7,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0.368613139,0.437367304,,,,1,,,,,,,0.511677282,0.134615385,,0.025641026,0.322717622,,0.861313869,1,0.656934307,,0.579617834,,,,0.551094891,indica
1127,Legalized OG,2,0,0.5,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.285714286,,,0.641025641,,,0.564102564,1,,,,,0.636363636,,0.58974359,,0.512820513,0.285714286,,,0.772727273,1,0.772727273,,,,,,0.409090909,hybrid
1128,Legend OG,2,0,0.75,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,0.652046784,0.069444444,,0.5,,,,0.612648221,0.862573099,,,,,,,0.254940711,0.069444444,,,0.264822134,,,1,1,,0.35770751,,,,0.906432749,indica
1129,Legend of Nigeria,0,0,0.01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,0.740740741,,,0.851851852,0.210526316,1,,,,0.631578947,,,,,0.421052632,,0.851851852,,,1,,,1,0.592592593,,,,,,0.210526316,,sativa
1130,Lem Chem,0,0,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.708333333,,,,1,0.875,,,0.625,1,,,1,,,,1,,,1,,,1,,,,0.875,,,,1,hybrid
1131,Lemon Alien Dawg,0,0,0.51,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0.392348087,,0.034912718,,,0.873218305,,,,1,,,0.017456359,0.658578856,,,0.645911478,0.386533666,,,,,0.743500867,1,0.878682842,,0.81507877,,,,0.56152513,hybrid
1132,Lemon Banana Sherbet,0,0,0.26,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,0.875,,,,0.6,1,,,,1,,,,,0.4,,,,0.5,,,,1,0.875,,,0.5,,,,0.6,sativa
1133,Lemon Bananas,2,0,0.5,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.857142857,0.90625,,,,1,0.8125,,,,0.035714286,,1,,,,,0.84375,1,,,,0.78125,,,,,hybrid
1134,Lemon Bubble,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,0.010752688,0.633744856,,0.650205761,0.423868313,0.965517241,,,,,1,0.862068966,,,1,,,1,,,,,1,0.793103448,0.526748971,,0.827586207,,,sativa
1135,Lemon Cake,0,0,0.2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0.441498316,0.619703162,0.625806452,0.809421381,,0.641935484,,1,,,,,,,1,0.2003367,,0.128367003,,,0.749308756,0.742955474,0.734101382,,0.737147774,,,,,sativa
1136,Lemon Daddy,0,0,0.385,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,0.95,,0.0625,1,,1,,0.75,,1,,,0.0625,,0.75,,0.9,0.0625,0.75,0.0625,,,0.5,,0.75,,,,,,,hybrid
1137,Lemon Diesel,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,0.700446923,,0.125124086,,,1,,,,1,,,0.053921126,,0.411363934,,0.794988349,,,0.261122642,,,0.867886623,0.795847817,0.485565795,,0.84206807,,,,0.341223741,hybrid
1138,Lemon Drop,0,0,0.57,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,0.878267506,0.252367984,0.900024532,,,,1,,,0.535662617,0.315913275,0.707910083,,0.849472565,0.128619275,,0.427099229,,,0.778897111,0.84533486,,,,,,,,hybrid
1139,Lemon Fire,0,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,0.9,0.385964912,,,,0.95,0.649122807,0.649122807,,,,,1,0.052631579,,,,,1,0.964912281,,,,,,0.05,,hybrid
1140,Lemon G,0,0,0.3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,0.039417693,0.599893704,,0.966516887,,0.417137476,,0.815846112,,,0.125643897,0.487422653,,,1,,,0.039417693,,,0.600618779,0.897473064,1,,0.559549693,,,,,sativa
1141,Lemon Haze,0,0,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,0.324491267,0.666757098,,1,,,,1,,,0.325212919,,0.472529025,,0.728286746,,,0.409484993,,,0.913153813,0.601226132,0.558036214,,0.701145011,,,0.415210219,,sativa
1142,Lemon Ice,0,0,0.4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,0.824561404,,0.859649123,0.771929825,,,1,,,0.1875,,0.819047619,,0.894736842,,,0.375,,,0.971428571,,0.876190476,,1,,,0.685714286,,hybrid
1143,Lemon Jack,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,0.936507937,,0.04250797,0.882395382,,1,,0.635416667,,1,,,0.755579171,,,,0.992784993,,,0.422954304,,,0.734848485,0.862914863,0.6875,,,,,0.6875,,sativa
1144,Lemon Jeffery,0,0,0.6,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,0.833333333,,,1,,,0.833333333,0.2,,0.7,,,,,0.9,,0.75,,,,,,1,,,,0.916666667,,,0.2,,hybrid
1145,Lemon Kush,0,0,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,0.164464306,,0.654862756,1,,,,1,,,,0.449797644,,,0.657353624,0.155673888,,0.365122891,0.491314144,,0.857453196,0.917946068,0.509711218,,0.849924821,,,,,hybrid
1146,Lemon Larry Lavender,0,0,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,0.571428571,0.777777778,,1,,,0.571428571,,,1,,0.5,,,0.777777778,,0.571428571,,,,,,1,,,,,0.666666667,,,,hybrid
1147,Lemon Marmalade,0,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,0.636363636,0.636363636,,,1,,,0.333333333,,,0.8,0.909090909,,,,,,0.4,0.636363636,,,1,,,0.4,0.4,hybrid
1148,Lemon Meringue,0,0,0.05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,0.658648097,,0.11277533,1,,0.828726173,0.880776535,,,0.592930576,,,1,,0.460783181,,0.846451431,0.944493392,,,,,1,,0.446228486,,,,,0.154441492,,sativa
1149,Lemon OG Haze,0,0,0.344600105,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,0.721453287,,0.042755344,0.574394464,0.695842451,0.574394464,,,,1,,,0.085510689,,,,,,,0.064133017,,,0.735229759,1,0.774617068,,0.884083045,,,0.676148796,,sativa
1150,Lemon OG Kush,0,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,0.275229358,,,0.974440129,,0.33956631,0.681988203,0.872669181,,,0.526354509,,,,0.828873543,,,0.545352259,,,0.934056149,1,1,,0.930417686,,,,0.750890425,hybrid
1151,Lemon Pie,0,0,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,0.852966841,,0.005854178,0.990837696,0.47027027,,,,,0.827027027,0.739092496,,,,1,,0.204624782,0.011708356,,0.040447046,,,0.648648649,,,,1,,0.410810811,,,sativa
1152,Lemon Sativa,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,0.961165049,,0.026315789,0.665048544,,1,0.67961165,,,1,,,0.039473684,,0.814814815,0.777777778,0.665048544,,,0.039473684,,,0.87654321,,0.925925926,,,,,,,sativa
1153,Lemon Skunk,0,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,0.650210095,,1,,0.280817476,,0.910791204,,,0.20201531,,0.455057719,,0.853996443,0.181814502,,0.20386305,,,1,0.734273133,0.53033971,,0.887683404,,,,,hybrid
1154,Lemon Thai,0,0,0.5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,0.860398349,,0.018152199,1,0.419154229,0.729230217,,,,1,,,0.631836165,,,,0.654764041,,0.629104612,0.030253665,,,0.94340796,,0.330845771,,,,,0.38681592,,hybrid
1155,Lemon Walker OG,0,0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,1,,1,0.775952203,,0.935026139,,,,0.38677686,,,0.78125,,0.282644628,,0.82300224,,,0.78125,,,1,0.82300224,0.930578512,,,,,0.3,,hybrid
1156,Lemon Wreck,0,0,0.38,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0.613496933,,0.38790932,0.627300613,,,,,0.740797546,1,,,0.909319899,,,,,,,0.58186398,,,0.517142857,0.763803681,0.94,,1,,,0.854285714,0.534285714,hybrid
1157,Lemon Zest,0,0,0.27,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,0.666666667,,1,,0.75,,,,0.666666667,,0.5,,0.666666667,0.666666667,,1,,0.75,,,,1,,,,,,,,,sativa
1158,Lemonberry,1,0,0.48,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,0.518324607,,,0.716294458,,,,1,,,0.027486911,0.486742424,,,0.652605459,0.327225131,,,,0.879239041,,1,,,0.70719603,,0.473484848,0.710227273,0.625,hybrid
1159,Lemonchello 28,0,0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,0.5,0.807692308,,0.5,0.5,,,,1,,1,,,,,,0.692307692,0.5,,,,,1,,,0.5,0.5,hybrid
1160,Lemonder,0,0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,0.257042254,0.747215081,,,,1,,,,,,,0.479862896,,,,,0.353898886,0.707746479,1,0.126760563,,0.771208226,,,,0.225352113,hybrid
1161,Lemonhead OG,0,0,0.41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,0.305324459,,0.682260681,0.868208829,,,,0.841265549,,,0.216583472,,,,0.675933786,0.182196339,0.716468591,,,0.705008489,1,1,0.654137372,,,,,,0.413196322,hybrid
1162,Lethal Purple,2,0,0.57,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0.333333333,,,1,1,,,1,,,,,,,,0.333333333,1,,1,,0.25,,0.5,,1,,,0.25,0.5,hybrid
1163,Liberty Haze,0,0,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,0.869043852,,0.409192825,,,0.761058027,1,,,0.613706771,,,0.234865471,,0.520389454,,0.705340758,,,0.940956652,,,1,,0.513751027,,0.821489591,,,0.395587027,,hybrid
1164,Lifesaver,2,0,0.565,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0.345679012,,0.033333333,,,0.987654321,,,,1,,,,,,,0.388888889,,,0.033333333,,,0.926470588,1,0.970588235,,0.99382716,,,0.75,0.808823529,hybrid
1165,Light of Jah,2,0,0.25,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,0.746478873,0.048387097,1,0.746478873,0.801932367,,,,,,,,,1,,0.77294686,0.072580645,,,,,,0.913043478,0.873239437,,0.758454106,,,,0.746478873,sativa
1166,Lime Green Skunk,0,0,0.5,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,0.931578947,,0.005681818,0.936842105,,1,,,,1,,,,,0.027932961,,0.963157895,0.005681818,,0.011363636,,,0.977653631,,0.972067039,,0.963157895,,,0.027932961,,hybrid
1167,Lime Haze,0,0,0.31,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,0.891472868,,,1,0.769983687,,,1,0.653344209,,0.054263566,0.777070064,,,0.852365416,0.054263566,,,,,0.732484076,,,,0.787112561,,0.643312102,0.777070064,,sativa
1168,Lime Skunk,0,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,0.789304653,0.243650258,0.698665519,0.833221301,,0.969004407,,,,1,,,0.546706845,,0.805461902,,1,0.122686182,,,,,0.903573837,,0.477185884,,0.836432893,,,,,sativa
1169,Lime Sorbet,0,0,0.77,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,0.049684543,,,0.442903375,0.414701803,,0.361766066,1,,,0.287066246,,0.398508699,,,,,,,,0.823115162,1,0.693040597,,0.73393435,,,,0.4991715,indica
1170,Limon,0,0,0.3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,0.444444444,0.6,0.97,,0.42,,,,0.666666667,,,0.8,,0.555555556,,0.94,,0.79,0.6,,,0.777777778,,1,,1,,,,,sativa
1171,Lions Gate,0,0,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,0.833333333,,1,0.833333333,,1,0.5,,,1,,,,0.4,0.4,,0.833333333,0.5,,0.25,,,,,,,,,,0.2,0.4,indica
1172,Liquid Butter,1,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0.789473684,,,0.57752809,,,,1,,,0.736842105,0.366733467,,,0.459550562,,,0.052631579,0.456179775,,0.933867735,1,0.402805611,,0.466292135,,,,0.408817635,indica
1173,Little Devil,0,0,0.555,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,0.75,,,1,,0.75,,,0.333333333,,1,,,,,,1,1,0.666666667,,,,,0.666666667,,hybrid
1174,Locktite,0,0,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,0.008645533,0.582857143,0.4,1,0.586285714,,,1,,,0.025936599,,0.747826087,,0.884571429,0.469740634,,,,,0.973913043,0.644571429,0.780434783,,,,,,,hybrid
1175,Locomotion,1,0,0.7,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.220759101,,,0.666527197,,,0.474058577,1,,,,0.425361156,,,0.5,0.197521301,,0.209140201,,,0.602996255,1,0.803103264,,0.656903766,,,,0.606206528,indica
1176,Lodi Dodi,0,0,0.385,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,0.56371134,0.345454545,1,,,,1,,,0.158550396,,0.4,,0.890309278,,,0.150622877,,,0.854545455,0.517113402,,,0.537319588,,,0.381818182,,hybrid
1177,Logic Diesel,0,0,0.5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,0.933333333,,1,1,,,,,,0.333333333,,,1,,1,,1,,1,,,,0.666666667,,0.333333333,,0.2,,,,,hybrid
1178,Longbottom Leaf,0,0,0.25,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,0.965116279,,0.675925926,,0.851851852,,,,1,,,,,1,,,,,0.042857143,,0.648148148,1,0.648148148,0.965116279,,1,,,,,sativa
1179,Lost Coast OG,0,0,0.55,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,0.496038035,0.422743722,,,0.854589319,,,1,,,1,,0.350503919,,1,,,0.51822504,,,0.623740202,0.272617612,0.334826428,,0.554995065,,,,0.402015677,hybrid
1180,Loud Dream,0,0,0.39,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,0.660891089,0.01459854,,0.658415842,0.702898551,0.371980676,,,0.673267327,,,,,,,,0.00729927,,0.010948905,,,0.992574257,0.669082126,1,,0.987922705,,,,,hybrid
1181,Loud Scout,0,0,0.36,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0.538461538,,,,,1,,,,,,,,0.0625,0.0625,,0.923076923,0.176470588,0.820512821,,,,0.0625,,0.0625,,0.923076923,,,1,,hybrid
1182,Love Potion #1,0,0,0.3,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,0.077653149,0.693081304,0.56530936,0.782260996,,,,1,,1,0.042709232,0.604177684,,,0.541015388,,,0.082398619,,,0.791644632,,0.863035431,,0.606203805,,,,,sativa
1183,Love Potion #9,0,0,0.93,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.026315789,,0.836734694,0.947368421,,,0.736842105,1,,,,0.836734694,,,,1,,,,0.210526316,0.244897959,1,,,0.929824561,,,,0.836734694,indica
1184,Lowryder,3,0,0.5,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0.906832298,,0.014258555,,,1,,,,0.220271349,,,,0.530726257,,0.506783719,0.463176575,,,0.02851711,,,,0.489795918,1,,0.409937888,,,,0.083798883,hybrid
1185,Luca Brasi x Sour Diesel,3,0,0.25,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,0.583333333,,0.833333333,,,,1,,,0.5,,0.272727273,,0.583333333,,,,,,0.727272727,0.75,0.909090909,,,,,0.272727273,,sativa
1186,Lucid Dream,2,0,0.385,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0.92209073,0.157275845,0.017391304,,,0.722222222,0.840236686,,,0.63155316,,,0.069565217,,0.216070554,,0.945759369,,,0.052173913,,,1,1,0.204311612,,,,,,,hybrid
1187,Lucky Charms,2,0,0.5,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.849242495,0.786599039,,0.98675921,,,,1,,,0.284041268,0.636539766,,,0.83780032,0.308485919,,0.308485919,,,0.665988569,1,0.64874552,,0.659636946,,,0.727211082,,hybrid
1188,Lucy,0,0,0.65,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,0.5,,,,0.489795918,0.367346939,,0.428571429,0.75,,,,0.527777778,,,0.346938776,,,,,,,1,1,,,,,0.611111111,,indica
1189,M-39,0,0,0.5,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.745042493,,0.631449631,0.991004498,0.493253373,,1,1,,,,0.697788698,,,,0.461756374,,0.42776204,0.628185907,,,0.64167916,0.176904177,,,,,,0.331695332,hybrid
1190,MAC,0,0,0.57,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,0.714285714,1,,,,1,,,,,,,0.75,,,0.333333333,0.666666667,,1,0.916666667,1,,1,,,,0.571428571,hybrid
1191,MILF,3,0,0.55,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,,,1,,,,1,,,,,,0.5,0.971698113,0.25,,0.25,0.952830189,0.952830189,0.5,,,,0.981132075,,,0.5,,hybrid
1192,MK Ultra,1,1,0.6,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.350594599,,0.441441119,0.600877849,,,0.565677627,0.966095281,,,0.081664651,,,,,,,0.191249714,0.421960579,,0.753604243,1,1,,0.619257907,,,,0.630372651,hybrid
1193,Mad Dawg,3,0,0.59,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.027777778,,,0.957446809,,,,1,,,0.027777778,,0.051282051,,0.893617021,0.916666667,0.765957447,,,,0.871794872,0.957446809,0.128205128,,1,,,,0.102564103,hybrid
1194,Mad Scientist,3,0,0.75,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.969879518,0.98125,1,,,,1,,,,,0.98125,,0.981927711,0.75,,0.5,,0.957831325,,,0.04375,,1,,,,0.05,indica
1195,Madagascar,1,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.2,,,0.625,,0.1,1,0.6,,,,,,,,,0.125,,,,,0.375,0.3,,0.375,,,0.1,1,indica
